FYear,SumQuarterMean,SumQMeanXCatch,Annual_Catch,NumQuarters,AnnualMeanWeight_A,AnnualMeanWeight_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,7.012540238,4794672.779,1974294,3,2.42855,2.337513413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,6.959891095,7364780.659,3118953.6,3,2.36130,2.319963698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,10.50114823,14499503.78,5701525.2,4,2.54309,2.625287058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,9.685188205,8722529.746,3515400,4,2.48123,2.421297051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,9.778261593,5960935.655,2390925.6,4,2.49315,2.444565398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,10.29469712,3927157.86,1520694,4,2.58248,2.573674279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,9.512883898,4949389.677,2055715.2,4,2.40762,2.378220974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,8.700187714,5971861.15,2658096,4,2.24667,2.175046929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,8.510590009,13420065.32,6323637.6,4,2.12221,2.127647502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,10.46409813,23022308.09,8869694.4,4,2.59561,2.616024533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,10.80676086,24607797.07,8959960.8,4,2.74642,2.701690215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,10.09035861,13455354.66,5336150.4,4,2.52155,2.522589652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,11.63348127,10943931.79,3950856,4,2.77002,2.908370316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,10.48566516,7005129.986,2570097.6,4,2.72563,2.621416289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,11.64428378,3445152.064,1186617.6,4,2.90334,2.911070945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,7.111674134,2999963.72,1261915.2,3,2.37731,2.370558045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,7.721470809,5373937.909,2893514.4,4,1.85724,1.930367702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,9.161187137,8712588.429,3821580,4,2.27984,2.290296784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,8.927589922,11516524.17,5245430.4,4,2.19553,2.23189748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,9.650342305,13287811.1,5408726.4,4,2.45674,2.412585576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,9.321702309,9574712.578,4165862.4,4,2.29837,2.330425577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,7.401400639,6603764.161,3460514.4,4,1.90832,1.85035016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,9.851354015,5530178.154,2297030.4,4,2.40753,2.462838504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,8.431591874,11757966.12,5498992.8,4,2.13820,2.107897968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,6.522984823,6947440.989,3173839.2,3,2.18897,2.174328274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,7.541292555,5002920.491,2640915.709,4,1.89439,1.885323139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,9.749901163,6396411.798,2508225.982,4,2.55017,2.437475291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,8.117134377,5906803.233,2226560.827,3,2.65288,2.705711459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,9.284193983,4086974.258,1717936.587,4,2.37900,2.321048496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,8.300709174,2708247.307,966798.5123,3,2.80125,2.766903058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,9.074501552,9762243.119,3715121.11,4,2.62771,2.268625388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,6.459628461,15632346.39,9506138.528,4,1.64445,1.614907115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,9.756106482,14865942.29,6175134.264,4,2.40739,2.43902662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,8.460170009,8672217.594,3149365.871,3,2.75364,2.82005667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,8.818674074,7772553.901,3395906.741,4,2.28880,2.204668518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,9.149052291,17473535.92,7684266.534,4,2.27394,2.287263073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,8.198890442,13748967.38,5034320.512,3,2.73105,2.732963481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,11.34322277,10284872.95,3378837.431,4,3.04391,2.835805693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,9.864105251,3548560.323,1070831.443,3,3.31384,3.288035084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,6.104533144,3133246.984,1007954.277,2,3.10852,3.052266572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,8.443370677,3130914.513,1066258.32,3,2.93636,2.814456892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,9.516216883,3521505.538,1111765.12,3,3.16749,3.172072294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,8.165278462,2415923.763,834813.92,3,2.89397,2.721759487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,7.783190003,1423016.058,554942.92,3,2.56426,2.594396668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12.20509002,1558896.801,513977.89,4,3.03300,3.051272504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,10.70655212,626596.5058,214130.58,4,2.92624,2.67663803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,9.194828364,617990.3152,270527.01,4,2.28439,2.298707091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,7.786948297,991890.1421,458339.92,4,2.16409,1.946737074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11.32183825,1489767.974,556302.31,4,2.67798,2.830459562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,12.19726957,2309669.619,738463.88,4,3.12767,3.049317393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,10.87913113,1983184.05,683965.86,4,2.89954,2.719782782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,12.49218799,982639.9095,302471.2,4,3.24871,3.123046998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,11.69801534,744431.5192,278110.37,4,2.67675,2.924503836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,7.973540941,1296504.363,497478.81,3,2.60615,2.65784698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12.37233977,3236993.537,1003749.06,4,3.22490,3.093084944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,13.74391342,2841584.021,869121.34,4,3.26949,3.435978355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,9.712632968,2150594.09,680847.22,3,3.15870,3.237544323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
